,b,dedicator,g,label,r,size,x,y
Q3086037,147,0,121,Q3086037,238,8.0,-459.49738,-4702.9067
Q3086448,147,0,121,Q3086448,238,8.0,-463.24527,-2476.9165
Q3086932,147,0,121,Q3086932,238,8.0,269.73343,-2426.7122
Q310341,147,0,121,Q310341,238,9.12,740.12225,-3728.9941
Q3106741,147,0,121,Q3106741,238,8.0,-1004.88153,-3867.2354
Q311005,147,0,121,Q311005,238,10.24,262.05856,-3435.9465
Q311687,147,0,121,Q311687,238,8.0,225.66554,-2265.2131
Q312279,147,0,121,Q312279,238,8.0,908.63336,-3396.4712
Q3124002,125,1,177,Gérard Granel,63,64.0,32.002014,-3009.1265
Q313509,147,0,121,Q313509,238,11.36,521.6392,-2909.5684
Q313769,147,0,121,Q313769,238,8.0,-324.48654,-4723.9727
Q314471,147,0,121,Q314471,238,9.12,1149.0066,-3964.9075
Q315210,147,0,121,Q315210,238,18.08,-568.3579,-3473.8547
Q315251,147,0,121,Q315251,238,8.0,179.09186,-2295.5364
Q315349,147,0,121,Q315349,238,9.12,823.0625,-3952.5295
Q3165548,147,0,121,Q3165548,238,8.0,-405.74982,-2463.155
Q3166708,147,0,121,Q3166708,238,8.0,-411.86316,-2527.377
Q3170058,125,1,177,Jean-Toussaint Desanti,63,64.0,546.9092,-3092.9993
Q317164,147,0,121,Q317164,238,8.0,-58.029602,-5519.3276
Q3172399,147,0,121,Q3172399,238,8.0,-478.51294,-2543.6938
Q3173978,147,0,121,Q3173978,238,8.0,-396.06497,-4768.7275
Q3181313,147,0,121,Q3181313,238,8.0,811.688,-3075.789
Q324944,147,0,121,Q324944,238,9.12,-532.69696,-4537.5303
Q3265379,147,0,121,Q3265379,238,8.0,849.79126,-4376.415
Q327601,147,0,121,Q327601,238,9.12,-518.23083,-3377.6604
Q3287593,147,0,121,Q3287593,238,8.0,138.91856,-2391.7375
Q3291694,125,1,177,Marie-Claire Ropars-Wuilleumier,63,64.0,-300.7819,-3711.2285
Q3302212,125,1,177,Max Loreau,63,64.0,-397.07175,-3400.0964
Q3315948,147,0,121,Q3315948,238,9.12,-713.2506,-3443.0134
Q3340016,125,1,177,Nicolas Abraham,63,64.0,-151.442,-4254.238
Q3439174,125,1,177,Roger Laporte,63,64.0,-808.4644,-3491.32
Q345612,147,0,121,Q345612,238,8.0,-356.50552,-5693.6226
Q34670,147,0,121,Q34670,238,12.48,-228.62328,-3793.7068
Q347362,147,0,121,Q347362,238,9.12,768.62823,-3257.656
Q3484538,147,0,121,Q3484538,238,9.12,-798.8797,-3732.5847
Q3496648,125,1,177,Stanislas Breton,63,64.0,455.14493,-3940.2417
Q352465,147,0,121,Q352465,238,10.24,-617.8204,-4067.3796
Q353754,147,0,121,Q353754,238,11.36,138.65161,-4789.311
Q354504,147,0,121,Q354504,238,11.36,189.57385,-3130.2646
Q355237,147,0,121,Q355237,238,8.0,923.6876,-4363.7607
Q3557406,147,0,121,Q3557406,238,9.12,-563.7454,-4194.0273
Q362349,147,0,121,Q362349,238,8.0,285.857,-2308.049
Q3623608,147,0,121,Q3623608,238,8.0,921.50696,-3927.1443
Q370022,147,0,121,Q370022,238,8.0,-714.89294,-4388.133
Q370389,125,1,177,Louis Marin,63,64.0,337.53348,-4208.672
Q37327,147,0,121,Q37327,238,9.12,-801.4838,-4116.636
Q374654,147,0,121,Q374654,238,8.0,791.84454,-2826.1926
Q3767253,147,0,121,Q3767253,238,8.0,1.6391163,-2335.0525
Q381720,147,0,121,Q381720,238,8.0,740.2798,-3003.878
Q382714,125,1,177,Anders Olsson,63,64.0,-999.8055,-4338.477
Q383751,147,0,121,Q383751,238,8.0,796.3536,-2768.99
Q4132725,125,1,177,J. Hillis Miller,63,64.0,-285.17395,-5418.1465
Q418681,147,0,121,Q418681,238,9.12,-47.341686,-3511.8955
Q432730,125,1,177,Daniel Bensaïd,63,64.0,450.29318,-3824.2483
Q433741,125,1,177,Georges Canguilhem,63,64.0,649.64856,-3812.6853
Q44272,147,0,121,Q44272,238,24.800001,313.65454,-3803.1375
Q445939,147,0,121,Q445939,238,8.0,1391.8115,-4278.4795
Q448427,125,1,177,Sarah Kofman,63,64.0,-520.84424,-3113.066
