,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Component ID,Degree,Eccentricity,Ego Network,Eigenvector Centrality,Harmonic Closeness Centrality,In-Degree,Modularity Class,Out-Degree,PageRank,Strongly-Connected ID,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,b,dedicator,g,label,lang-af,lang-ar,lang-ast,lang-az,lang-be,lang-be-tarask,lang-bg,lang-bs,lang-ca,lang-ckb,lang-cs,lang-da,lang-de,lang-el,lang-en,lang-eo,lang-es,lang-et,lang-eu,lang-fa,lang-fi,lang-fr,lang-gl,lang-he,lang-hr,lang-hu,lang-hy,lang-ia,lang-id,lang-io,lang-is,lang-it,lang-ja,lang-jv,lang-ka,lang-kk,lang-ko,lang-ku,lang-la,lang-li,lang-lt,lang-lv,lang-mk,lang-ml,lang-nl,lang-nn,lang-no,lang-oc,lang-pa,lang-pl,lang-pt,lang-ro,lang-ru,lang-sco,lang-sh,lang-simple,lang-sk,lang-sl,lang-sr,lang-sv,lang-sw,lang-ta,lang-th,lang-tl,lang-tr,lang-uk,lang-vi,lang-yo,lang-zh,r,size,wiki degree,x,y
Q433741,0.00044170098891710186,0.36761355005316726,0.1349206417798996,0,46,5.0,1,0.15705146735835074,0.38648760330579773,20,1,26,0.0008505495535314595,2038,451.0,206.0,245.0,0,1,192,Georges Canguilhem,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,64.0,18,318.18573,413.84717
Q444866,0.0,0.0,0.0,0,2,0.0,0,0.0012870220989121836,0.0,2,1,0,0.0002536550649287315,860,2.0,2.0,0.0,0,1,192,Viviane Forrester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,64.0,1,-108.16864,1986.1139
Q448427,0.00035090717663976685,0.35593469627886454,0.17251461744308472,0,23,6.0,1,0.06654104262685386,0.3712534435261819,9,0,14,0.0006474908091214796,2038,120.0,39.0,81.0,255,1,137,Sarah Kofman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,7,-119.08244,1220.0399
Q449223,0.0,0.0,0.1666666716337204,0,3,0.0,0,0.008365088479646678,0.0,3,5,0,0.00027703198617228615,1156,4.0,4.0,0.0,148,1,189,Nicole Loraux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,3,2075.271,1131.2561
Q462583,0.0,0.0,0.3333333432674408,0,3,0.0,0,0.007767639091857653,0.0,3,6,0,0.00027297392720079485,788,5.0,5.0,0.0,255,1,196,André Pieyre de Mandiargues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,2,-2415.4968,962.6238
Q462585,0.0011894460314416284,0.36341793062021327,0.048199769109487534,0,50,6.0,1,0.10808946212850862,0.3841942148760445,12,6,38,0.0005742864935567625,2038,246.0,44.0,202.0,255,1,196,Edmond Jabès,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.0,12,-710.61237,1441.5754
Q472206,0.0003622759603413969,0.2927301318495222,0.05533596873283386,0,26,6.0,1,0.06954219132906721,0.3077617079889823,12,0,14,0.0005983794353143054,2038,84.0,36.0,48.0,255,1,137,Jean-Pierre Vernant,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,14,773.64276,251.72415
Q495300,0.0,0.0,0.0,0,6,0.0,0,0.017718020860499534,0.0,6,5,0,0.00033914710648234457,4,11.0,11.0,0.0,148,1,189,Andrea Zanzotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,1,-1891.6746,2470.6677
Q519188,2.2365799807036e-05,0.3446802449793477,0.20909090340137482,0,12,5.0,1,0.020739258063395532,0.3561019283746645,3,0,9,0.0003122999664463399,2038,13.0,4.0,9.0,255,1,137,André Green,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,4,1137.2325,-233.63985
Q523621,0.0,0.0,0.10000000149011612,0,6,0.0,0,0.008234821093145838,0.0,6,6,0,0.00038579416455720316,1163,15.0,15.0,0.0,255,1,196,André du Bouchet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,4,-1248.9921,2283.7146
